Date,City,Spending Group,Spending Subgroup,Treasury Spend Subgroup,Treausry Spend Group,Amount
Dec 2022,"Seattle City, Washington",Infrastructure,Broadband,Household Assistance: Food Programs,,308000.00
Dec 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),,295000.00
Dec 2022,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other Public Health Services,,4186472.00
Dec 2022,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other Public Health Services,,955824.00
Dec 2022,"Seattle City, Washington",Public Health,COVID Response,Household Assistance: Food Programs,,0.00
Dec 2022,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Other Public Health Services,,4208860.00
Dec 2022,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,,68282298.81
Dec 2022,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,,1980395.19
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Youth Workforce Development,Economic Impact Assistance: Other,Negative Economic Impacts,6357891.00
Apr 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Economic Impact Assistance: Other,Negative Economic Impacts,225000.00
Apr 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,5000000.00
Apr 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,1000000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,7000000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,450000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,1000000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,300000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,281278.40
Apr 2023,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,11239612.00
Apr 2023,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,1755000.00
Apr 2023,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,250000.00
Apr 2023,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,600000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,59500.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,140500.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2090000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,1500000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,7334000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,75000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,1900000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,250000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,4000000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2000000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,165000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,2308933.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,2319605.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,3200000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Private Sector: Grants to other employers,Premium Pay,2951593.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,580000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,225000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,150000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,275000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Aid to Other Impacted Industries,Negative Economic Impacts,350000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,1858722.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,500000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,6000000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,1980395.00
Apr 2023,"Seattle City, Washington",Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,2500000.00
Apr 2023,"Seattle City, Washington",Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,4700000.00
Apr 2023,"Seattle City, Washington",Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,1500000.00
Apr 2023,"Seattle City, Washington",Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,2688883.00
Apr 2023,"Seattle City, Washington",Housing,Rental Assistance,Household Assistance: Rent Mortgage and Utility Aid,Negative Economic Impacts,311117.00
Apr 2023,"Seattle City, Washington",Community Aid,Refugees and Migration,Economic Impact Assistance: Other,Negative Economic Impacts,2000000.00
Apr 2023,"Seattle City, Washington",Community Aid,Refugees and Migration,Economic Impact Assistance: Other,Negative Economic Impacts,2000000.00
Apr 2023,"Seattle City, Washington",Infrastructure,Public Space,Economic Impact Assistance: Other,Negative Economic Impacts,250000.00
Apr 2023,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,600000.00
Apr 2023,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,500000.00
Apr 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4208860.00
Apr 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,955824.00
Apr 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4186472.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Other Government Investment,Economic Impact Assistance: Other,Negative Economic Impacts,1495000.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Other Government Investment,Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,280000.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Other Government Investment,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,151954.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Other Government Investment,Administrative Expenses,Administrative,7173177.00
Apr 2023,"Seattle City, Washington",Community Aid,Other Community Aid,Social Determinants of Health: Community Health Workers or Benefits Navigators,Negative Economic Impacts,150000.00
Apr 2023,"Seattle City, Washington",Community Aid,Other Community Aid,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,25000.00
Apr 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,0.00
Apr 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,690000.00
Apr 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,6536960.00
Apr 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,308000.00
Apr 2023,"Seattle City, Washington",Community Aid,Nonprofit Support,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,3000000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,765000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,0.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,425000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Economic Impact Assistance: Other,Negative Economic Impacts,40000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,500000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,2500000.00
Apr 2023,"Seattle City, Washington",Public Health,Mental Health,Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,175750.00
Apr 2023,"Seattle City, Washington",Public Health,Mental Health,Mental Health Services,Public Health,5884642.00
Apr 2023,"Seattle City, Washington",Public Health,Mental Health,Mental Health Services,Public Health,600000.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Administrative Needs,Public Health-Negative Economic Impact: Public Sector Capacity,85000.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1061400.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,920995.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1657632.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,2700000.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,1500000.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1050000.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,52259210.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,12791000.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,805000.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,2400000.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,1000000.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,570000.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Economic Impact Assistance: Other,Negative Economic Impacts,0.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,29812968.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,500000.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,400000.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Negative Economic Impacts,2300000.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,1300000.00
Apr 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,2300000.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1105000.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Workforce: Rehiring Public Sector Staff,Public Health-Negative Economic Impact: Public Sector Capacity,6260000.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Workforce: Rehiring Public Sector Staff,Public Health-Negative Economic Impact: Public Sector Capacity,465317.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages Or Hiring,Administrative Expenses,Administrative,2072024.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,1411000.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,268592.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,38863195.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,68282299.00
Apr 2023,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,26670000.00
Apr 2023,"Seattle City, Washington",Housing,Eviction Prevention,Housing Support: Other Housing Assistance,Negative Economic Impacts,1860000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Economic Development,Economic Impact Assistance: Other,Negative Economic Impacts,1125000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Economic Development,Economic Impact Assistance: Other,Negative Economic Impacts,640000.00
Apr 2023,"Seattle City, Washington",Economic and Workforce Development,Economic Development,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,700000.00
Apr 2023,"Seattle City, Washington",Public Health,COVID Response,COVID-19 Vaccination,Public Health,250000.00
Apr 2023,"Seattle City, Washington",Public Health,COVID Response,Prevention in Congregate Settings (Nursing Homes Prisons/Jails Dense Work Sites Schools Child care facilities etc.),Public Health,330000.00
Apr 2023,"Seattle City, Washington",Public Health,COVID Response,COVID-19 Assistance to Small Businesses,Public Health,300000.00
Apr 2023,"Seattle City, Washington",Public Health,COVID Response,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,255200.00
Apr 2023,"Seattle City, Washington",Public Health,COVID Response,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,295000.00
Apr 2023,"Seattle City, Washington",Infrastructure,Broadband,Household Assistance: Internet Access Programs,Negative Economic Impacts,3500000.00
Apr 2023,"Seattle City, Washington",Infrastructure,Broadband,Household Assistance: Internet Access Programs,Negative Economic Impacts,500000.00
Apr 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2000000.00
Apr 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,375000.00
Apr 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Apr 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2225000.00
Apr 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,120000.00
Apr 2023,"Seattle City, Washington",Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5175000.00
Apr 2023,"Seattle City, Washington",Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,5452500.00
Apr 2023,"Seattle City, Washington",Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,16300000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,580000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,6000000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,275000.00
Jul 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,500000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Rehabilitation of Commercial Properties or Other Improvements,Negative Economic Impacts,1858721.61
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,500000.00
Jul 2023,"Seattle City, Washington",Public Health,COVID Response,COVID-19 Assistance to Small Businesses,Public Health,300000.00
Jul 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,308000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,1980395.19
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,150000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,2319604.81
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Loans or Grants to Mitigate Financial Hardship,Negative Economic Impacts,3200000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Technical Assistance Counseling or Business Planning,Negative Economic Impacts,225000.00
Jul 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,1000000.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Workforce: Rehiring Public Sector Staff,Public Health-Negative Economic Impact: Public Sector Capacity,465317.00
Jul 2023,"Seattle City, Washington",Infrastructure,Broadband,Household Assistance: Internet Access Programs,Negative Economic Impacts,500000.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Workforce: Rehiring Public Sector Staff,Public Health-Negative Economic Impact: Public Sector Capacity,6260000.00
Jul 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,400000.00
Jul 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,0.00
Jul 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,2300000.00
Jul 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,29812968.00
Jul 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Healthy Childhood Environments: Child Care,Negative Economic Impacts,5000000.00
Jul 2023,"Seattle City, Washington",Public Health,Mental Health,Mental Health Services,Public Health,600000.00
Jul 2023,"Seattle City, Washington",Housing,Homelessness,Long-Term Housing Security: Services for Unhoused persons,Negative Economic Impacts,1300000.00
Jul 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,6536960.00
Jul 2023,"Seattle City, Washington",Community Aid,Nutrition and Food Assistance,Household Assistance: Food Programs,Negative Economic Impacts,690000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,300000.00
Jul 2023,"Seattle City, Washington",Community Aid,Nonprofit Support,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,3000000.00
Jul 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,500000.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,2700000.00
Jul 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,375000.00
Jul 2023,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Community Violence Interventions,Public Health,600000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,281278.39
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Neighborhood/Downtown Revitalization,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,2500000.00
Jul 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4186472.00
Jul 2023,"Seattle City, Washington",Public Health,COVID Response,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,295000.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,268592.00
Jul 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,120000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,1000000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Aid to Other Impacted Industries,Negative Economic Impacts,350000.00
Jul 2023,"Seattle City, Washington",Housing,Affordable Housing,Long-Term Housing Security: Affordable Housing,Negative Economic Impacts,16300000.00
Jul 2023,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,500000.00
Jul 2023,"Seattle City, Washington",Infrastructure,Public Space,Strong Healthy Communities: Neighborhood Features that Promote Health and Safety,Negative Economic Impacts,600000.00
Jul 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,955824.00
Jul 2023,"Seattle City, Washington",Infrastructure,Public Space,Other Public Health Services,Public Health,4208860.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1050000.00
Jul 2023,"Seattle City, Washington",Public Health,COVID Response,Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,255200.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Other COVID-19 Public Health Expenses (including Communications Enforcement Isolation/Quarantine),Public Health,1500000.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1657632.31
Jul 2023,"Seattle City, Washington",Community Aid,Youth and Family Support,Economic Impact Assistance: Other,Negative Economic Impacts,225000.00
Jul 2023,"Seattle City, Washington",Housing,Homelessness,Housing Support: Other Housing Assistance,Negative Economic Impacts,2300000.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,68282298.81
Jul 2023,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,26670000.00
Jul 2023,"Seattle City, Washington",Public Health,COVID Response,Prevention in Congregate Settings (Nursing Homes Prisons/Jails Dense Work Sites Schools Child care facilities etc.),Public Health,330000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Workforce Development,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,450000.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,1411000.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Youth Workforce Development,Economic Impact Assistance: Other,Negative Economic Impacts,6357890.88
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Small Business Support,Private Sector: Grants to other employers,Premium Pay,2951593.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Aid to Tourism Travel or Hospitality,Negative Economic Impacts,59500.00
Jul 2023,"Seattle City, Washington",Economic and Workforce Development,Tourism and Hospitality,Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Negative Economic Impacts,140500.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,1105000.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,Government Employee Wages or Hiring,Administrative Expenses,Administrative,2072024.00
Jul 2023,"Seattle City, Washington",Government Operations Investments,"Investment in Government Facility, Equipment, and/or IT",Public Sector Capacity: Effective Service Delivery,Public Health-Negative Economic Impact: Public Sector Capacity,920995.00
Jul 2023,"Seattle City, Washington",Community Aid,Other Community Aid,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,25000.00
Jul 2023,"Seattle City, Washington",Public Safety,Violence Reduction and Prevention,Assistance to Unemployed or Underemployed Workers (e.g. job training subsidized employment employment supports or incentives),Negative Economic Impacts,250000.00
Jul 2023,"Seattle City, Washington",Community Aid,Arts and Culture,Aid to Other Impacted Industries,Negative Economic Impacts,2225000.00
Septt 2023,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,71060771.89
Septt 2023,"Seattle City, Washington",Government Operations Investments,Fiscal Health Recovery,Provision of Government Services,Revenue Replacement,26670000.00
